Category,Cause,Site,Month,Year,Severity,Status,Count
Customer,Procedure,Weston,Jan,2007,Medium,Closed,5
Customer,External,Weston,Jan,2007,Near Miss,Closed,6
Spill,Material,Weston,Jan,2007,Major,Closed,5
Spill,External,Weston,Jan,2007,Medium,Open,5
Injury,Procedure,Weston,Jan,2007,Major,Closed,5
Injury,Material,Weston,Jan,2007,Major,Closed,7
Transport,Design,Weston,Jan,2007,Near Miss,Closed,3
Transport,Material,Weston,Jan,2007,Critical,Closed,6
Equipment,Management,Weston,Jan,2007,Near Miss,Closed,7
Equipment,Personnel,Weston,Jan,2007,Major,Closed,5
Security,External,Weston,Jan,2007,Near Miss,Closed,6
Security,Procedure,Weston,Jan,2007,Major,Closed,7
Divergence,Procedure,Weston,Jan,2007,Major,Open,7
Divergence,Design,Weston,Jan,2007,Medium,Closed,9
Complaint,Management,Weston,Jan,2007,Near Miss,Closed,9
Complaint,Personnel,Weston,Jan,2007,Near Miss,Closed,11
Customer,Management,Bolton,Jan,2007,Near Miss,Open,9
Customer,Procedure,Bolton,Jan,2007,Near Miss,Closed,17
Spill,Personnel,Bolton,Jan,2007,Near Miss,Closed,9
Spill,Management,Bolton,Jan,2007,Major,Closed,12
Injury,Design,Bolton,Jan,2007,Medium,Closed,8
Injury,Equipment,Bolton,Jan,2007,Medium,Open,12
Transport,Training,Bolton,Jan,2007,Major,Closed,12
Transport,Material,Bolton,Jan,2007,Critical,Open,8
Equipment,External,Bolton,Jan,2007,Near Miss,Closed,9
Equipment,Material,Bolton,Jan,2007,Critical,Open,6
Security,Procedure,Bolton,Jan,2007,Near Miss,Closed,5
Security,Design,Bolton,Jan,2007,Major,Open,4
Divergence,Design,Bolton,Jan,2007,Medium,Open,10
Divergence,Equipment,Bolton,Jan,2007,Near Miss,Closed,11
Complaint,Training,Bolton,Jan,2007,Medium,Open,5
Complaint,Material,Bolton,Jan,2007,Critical,Closed,9
Customer,Procedure,Shirley,Jan,2007,Critical,Closed,6
Customer,Design,Shirley,Jan,2007,Near Miss,Open,10
Spill,Personnel,Shirley,Jan,2007,Medium,Closed,11
Spill,Design,Shirley,Jan,2007,Medium,Closed,9
Injury,External,Shirley,Jan,2007,Major,Closed,3
Injury,Material,Shirley,Jan,2007,Major,Closed,9
Transport,Personnel,Shirley,Jan,2007,Near Miss,Closed,11
Transport,Equipment,Shirley,Jan,2007,Near Miss,Closed,4
